,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
146143,25,Sinaloa,2518,Culiacán,1022,508,514,"24°44'46.061"" N","107°22'33.817"" W"
146144,25,Sinaloa,2526,Culiacán,3,*,*,"24°50'54.591"" N","107°34'01.608"" W"
146145,25,Sinaloa,2527,Culiacán,2,*,*,"24°53'57.911"" N","107°30'15.224"" W"
146146,25,Sinaloa,2529,Culiacán,3,*,*,"24°36'33.430"" N","107°22'40.038"" W"
146147,25,Sinaloa,2532,Culiacán,1,*,*,"24°47'45.964"" N","107°30'50.750"" W"
146148,25,Sinaloa,2535,Culiacán,6,*,*,"24°53'33.428"" N","107°31'32.974"" W"
146149,25,Sinaloa,2537,Culiacán,2,*,*,"24°53'29.179"" N","107°32'16.279"" W"
146150,25,Sinaloa,2538,Culiacán,4,*,*,"24°54'47.118"" N","107°30'50.959"" W"
146151,25,Sinaloa,2541,Culiacán,5,*,*,"24°45'56.011"" N","107°14'32.116"" W"
146152,25,Sinaloa,2542,Culiacán,8,*,*,"24°35'03.990"" N","107°26'41.590"" W"
146153,25,Sinaloa,2549,Culiacán,6,*,*,"24°47'17.132"" N","107°31'27.408"" W"
146154,25,Sinaloa,2552,Culiacán,3,*,*,"24°39'04.452"" N","107°17'41.551"" W"
146155,25,Sinaloa,2555,Culiacán,1,*,*,"24°34'16.803"" N","107°26'38.637"" W"
146156,25,Sinaloa,2557,Culiacán,7,*,*,"24°55'11.346"" N","107°37'13.499"" W"
146157,25,Sinaloa,2558,Culiacán,11,*,*,"24°51'43.048"" N","107°29'13.437"" W"
146158,25,Sinaloa,2564,Culiacán,391,*,*,"24°35'22.681"" N","107°22'21.318"" W"
146159,25,Sinaloa,2566,Culiacán,2,*,*,"24°54'09.127"" N","107°32'08.709"" W"
146160,25,Sinaloa,2568,Culiacán,5,*,*,"24°55'15.424"" N","107°32'34.358"" W"
146161,25,Sinaloa,2576,Culiacán,5,*,*,"24°55'03.572"" N","107°32'31.022"" W"
146162,25,Sinaloa,2577,Culiacán,28,13,15,"25°09'56.421"" N","107°08'54.665"" W"
146163,25,Sinaloa,2579,Culiacán,5,*,*,"24°38'05.673"" N","107°25'28.980"" W"
146164,25,Sinaloa,2589,Culiacán,3,*,*,"24°56'16.224"" N","107°33'32.112"" W"
146165,25,Sinaloa,2591,Culiacán,5,*,*,"24°54'48.504"" N","107°37'09.958"" W"
146166,25,Sinaloa,2597,Culiacán,1,*,*,"24°50'57.289"" N","107°34'16.418"" W"
146167,25,Sinaloa,2598,Culiacán,6,*,*,"24°53'44.400"" N","107°34'06.002"" W"
146168,25,Sinaloa,2602,Culiacán,6,*,*,"24°54'39.196"" N","107°32'09.975"" W"
146169,25,Sinaloa,2603,Culiacán,4,*,*,"24°54'37.626"" N","107°32'09.540"" W"
146170,25,Sinaloa,2604,Culiacán,14,8,6,"24°55'28.306"" N","107°31'17.230"" W"
146171,25,Sinaloa,2605,Culiacán,2,*,*,"24°55'21.439"" N","107°31'22.371"" W"
146172,25,Sinaloa,2611,Culiacán,5,*,*,"24°52'23.172"" N","107°30'39.487"" W"
146173,25,Sinaloa,2613,Culiacán,4,*,*,"24°52'52.556"" N","107°29'42.843"" W"
146174,25,Sinaloa,2614,Culiacán,1,*,*,"24°52'58.225"" N","107°28'53.876"" W"
146175,25,Sinaloa,2617,Culiacán,2,*,*,"24°52'32.830"" N","107°22'06.343"" W"
146176,25,Sinaloa,2626,Culiacán,5,*,*,"24°50'56.888"" N","107°30'48.647"" W"
146177,25,Sinaloa,2631,Culiacán,1,*,*,"24°47'57.811"" N","107°31'08.559"" W"
146178,25,Sinaloa,2639,Culiacán,3,*,*,"24°48'59.640"" N","107°33'43.246"" W"
